,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
1682,Maruti,"14,190",Alto,2018,Petrol,3.86
1683,Maruti,"50,969",Celerio,2018,CNG,5.13
1684,Honda,"26,736",Jazz,2017,Petrol,6.90
1685,Maruti,"34,278",Baleno,2017,Petrol,6.53
1686,Maruti,"33,206",Ciaz,2019,Petrol,9.34
1687,Mahindra,"46,365",Thar,2017,Diesel,7.72
1688,Maruti,"30,480",S-Presso,2020,Petrol,4.50
1689,Maruti,"76,734",Swift,2015,Diesel,3.76
1690,Maruti,"86,294",Swift,2014,Diesel,4.11
1691,Maruti,"39,781",Baleno,2017,Petrol,5.96
1692,Maruti,"82,496",Ciaz,2019,Petrol,8.72
1693,Hyundai,"45,716",Creta,2018,Petrol,8.99
1694,Maruti,"72,880",Wagon,2011,Petrol,1.70
1695,BMW,"85,000",X5,2015,Diesel,31.25
1696,Ford,"70,000",Endeavour,2017,Diesel,24.60
1697,Honda,"75,000",CR-V,2016,Petrol,11.51
1698,Mahindra,"62,000",XUV500,2017,Diesel,11.00
1699,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
1700,Renault,"23,290",KWID,2017,Petrol,3.43
1701,Tata,"96,177",Harrier,2019,Diesel,12.88
1702,Maruti,"14,190",Alto,2018,Petrol,3.86
1703,Maruti,"50,969",Celerio,2018,CNG,5.13
1704,Honda,"26,736",Jazz,2017,Petrol,6.90
1705,Maruti,"34,278",Baleno,2017,Petrol,6.53
1706,Maruti,"33,206",Ciaz,2019,Petrol,9.34
1707,Mahindra,"46,365",Thar,2017,Diesel,7.72
1708,Maruti,"30,480",S-Presso,2020,Petrol,4.50
1709,Maruti,"76,734",Swift,2015,Diesel,3.76
1710,Maruti,"86,294",Swift,2014,Diesel,4.11
1711,Maruti,"39,781",Baleno,2017,Petrol,5.96
1712,Maruti,"82,496",Ciaz,2019,Petrol,8.72
1713,Hyundai,"45,716",Creta,2018,Petrol,8.99
1714,Maruti,"72,880",Wagon,2011,Petrol,1.70
1715,BMW,"85,000",X5,2015,Diesel,31.25
1716,Ford,"70,000",Endeavour,2017,Diesel,24.60
1717,Honda,"75,000",CR-V,2016,Petrol,11.51
1718,Mahindra,"62,000",XUV500,2017,Diesel,11.00
1719,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
1720,Renault,"23,290",KWID,2017,Petrol,3.43
1721,Tata,"96,177",Harrier,2019,Diesel,12.88
1722,Maruti,"14,190",Alto,2018,Petrol,3.86
