,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2305,Maruti,"34,278",Baleno,2017,Petrol,6.53
2306,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2307,Mahindra,"46,365",Thar,2017,Diesel,7.72
2308,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2309,Maruti,"76,734",Swift,2015,Diesel,3.76
2310,Maruti,"86,294",Swift,2014,Diesel,4.11
2311,Maruti,"39,781",Baleno,2017,Petrol,5.96
2312,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2313,Hyundai,"45,716",Creta,2018,Petrol,8.99
2314,Maruti,"72,880",Wagon,2011,Petrol,1.70
2315,BMW,"85,000",X5,2015,Diesel,31.25
2316,Ford,"70,000",Endeavour,2017,Diesel,24.60
2317,Honda,"75,000",CR-V,2016,Petrol,11.51
2318,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2319,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2320,Renault,"23,290",KWID,2017,Petrol,3.43
2321,Tata,"96,177",Harrier,2019,Diesel,12.88
2322,Maruti,"14,190",Alto,2018,Petrol,3.86
2323,Maruti,"50,969",Celerio,2018,CNG,5.13
2324,Honda,"26,736",Jazz,2017,Petrol,6.90
2325,Maruti,"34,278",Baleno,2017,Petrol,6.53
2326,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2327,Mahindra,"46,365",Thar,2017,Diesel,7.72
2328,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2329,Maruti,"76,734",Swift,2015,Diesel,3.76
2330,Maruti,"86,294",Swift,2014,Diesel,4.11
2331,Maruti,"39,781",Baleno,2017,Petrol,5.96
2332,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2333,Hyundai,"45,716",Creta,2018,Petrol,8.99
2334,Maruti,"72,880",Wagon,2011,Petrol,1.70
2335,BMW,"85,000",X5,2015,Diesel,31.25
2336,Ford,"70,000",Endeavour,2017,Diesel,24.60
2337,Honda,"75,000",CR-V,2016,Petrol,11.51
2338,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2339,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2340,Renault,"23,290",KWID,2017,Petrol,3.43
2341,Tata,"96,177",Harrier,2019,Diesel,12.88
2342,Maruti,"14,190",Alto,2018,Petrol,3.86
2343,Maruti,"50,969",Celerio,2018,CNG,5.13
2344,Honda,"26,736",Jazz,2017,Petrol,6.90
2345,Maruti,"34,278",Baleno,2017,Petrol,6.53
2346,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2347,Mahindra,"46,365",Thar,2017,Diesel,7.72
2348,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2349,Maruti,"76,734",Swift,2015,Diesel,3.76
2350,Maruti,"86,294",Swift,2014,Diesel,4.11
2351,Maruti,"39,781",Baleno,2017,Petrol,5.96
2352,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2353,Hyundai,"45,716",Creta,2018,Petrol,8.99
2354,Maruti,"72,880",Wagon,2011,Petrol,1.70
2355,BMW,"85,000",X5,2015,Diesel,31.25
2356,Ford,"70,000",Endeavour,2017,Diesel,24.60
2357,Honda,"75,000",CR-V,2016,Petrol,11.51
2358,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2359,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2360,Renault,"23,290",KWID,2017,Petrol,3.43
2361,Tata,"96,177",Harrier,2019,Diesel,12.88
2362,Maruti,"14,190",Alto,2018,Petrol,3.86
2363,Maruti,"50,969",Celerio,2018,CNG,5.13
2364,Honda,"26,736",Jazz,2017,Petrol,6.90
